iter	Passed	Remaining
368	1148	1964
369	1151	1960
370	1154	1957
371	1157	1953
372	1160	1950
373	1163	1947
374	1166	1943
375	1169	1940
376	1171	1936
377	1174	1932
378	1177	1928
379	1181	1928
380	1188	1930
381	1200	1942
382	1204	1940
383	1207	1937
384	1210	1934
385	1213	1930
386	1216	1927
387	1219	1924
388	1222	1920
389	1225	1916
390	1228	1913
391	1231	1910
392	1234	1906
393	1237	1904
394	1240	1900
395	1244	1897
396	1247	1894
397	1249	1890
398	1252	1886
399	1255	1883
400	1258	1880
401	1261	1876
402	1264	1873
403	1267	1869
404	1270	1866
405	1275	1865
406	1277	1861
407	1281	1859
408	1284	1855
409	1287	1852
410	1290	1849
411	1293	1845
412	1296	1842
413	1299	1839
414	1302	1836
415	1305	1832
416	1307	1828
417	1310	1824
418	1313	1821
419	1316	1817
420	1319	1815
421	1325	1815
422	1329	1813
423	1332	1810
424	1344	1818
425	1347	1815
426	1362	1828
427	1365	1825
428	1374	1828
429	1377	1825
430	1385	1829
431	1390	1827
432	1394	1825
433	1397	1822
434	1401	1820
435	1405	1817
436	1410	1817
437	1413	1813
438	1416	1810
439	1425	1814
440	1438	1823
441	1441	1819
442	1447	1819
443	1449	1815
444	1461	1823
445	1464	1819
446	1475	1825
447	1479	1822
448	1485	1822
449	1493	1825
450	1502	1829
451	1508	1829
452	1511	1824
453	1513	1820
454	1523	1825
455	1528	1823
456	1531	1819
457	1536	1818
458	1546	1822
459	1554	1824
460	1557	1820
461	1561	1817
462	1565	1815
463	1572	1816
464	1575	1812
465	1578	1808
466	1583	1806
467	1588	1806
468	1594	1805
469	1598	1802
470	1601	1798
471	1603	1794
472	1606	1790
473	1609	1786
474	1612	1782
475	1615	1777
476	1617	1773
477	1620	1769
478	1622	1765
479	1625	1760
480	1628	1756
481	1630	1752
482	1633	1748
483	1636	1744
484	1639	1740
485	1641	1736
486	1644	1732
487	1646	1727
488	1650	1724
489	1653	1720
490	1656	1716
491	1658	1712
492	1661	1708
493	1664	1704
494	1666	1700
495	1669	1696
496	1671	1691
497	1674	1688
498	1677	1684
499	1680	1680
500	1682	1676
501	1685	1671
502	1687	1667
503	1690	1663
504	1692	1659
505	1695	1655
506	1698	1651
507	1700	1647
508	1703	1643
509	1706	1639
510	1708	1634
511	1710	1630
512	1713	1626
513	1716	1622
514	1719	1619
515	1722	1615
516	1725	1612
517	1728	1608
518	1730	1603
519	1733	1599
520	1735	1595
521	1738	1591
522	1741	1587
523	1743	1583
524	1746	1580
525	1749	1576
526	1751	1572
527	1754	1568
528	1757	1564
529	1759	1560
530	1762	1556
531	1765	1553
532	1768	1549
533	1771	1545
534	1773	1541
535	1776	1537
536	1778	1533
537	1782	1530
538	1785	1527
539	1788	1523
540	1790	1519
541	1793	1515
542	1796	1511
543	1798	1507
544	1801	1503
545	1804	1500
546	1807	1496
547	1810	1493
548	1812	1489
549	1815	1485
550	1818	1481
551	1820	1477
552	1823	1474
553	1826	1470
554	1829	1466
555	1831	1462
556	1834	1458
557	1836	1455
558	1839	1451
559	1842	1447
560	1844	1443
561	1847	1439
562	1850	1436
563	1853	1432
564	1855	1428
565	1858	1424
566	1861	1421
567	1864	1417
568	1867	1414
569	1869	1410
570	1872	1406
571	1874	1402
572	1877	1399
573	1880	1395
574	1882	1391
575	1885	1388
576	1888	1384
577	1890	1380
578	1893	1376
579	1895	1372
580	1898	1369
581	1901	1365
582	1903	1361
583	1907	1358
584	1910	1354
585	1912	1351
586	1915	1347
587	1917	1343
588	1920	1340
589	1923	1336
590	1925	1332
591	1928	1328
592	1931	1325
593	1933	1321
594	1936	1318
595	1939	1314
596	1943	1311
597	1945	1308
598	1948	1304
599	1951	1300
600	1953	1297
601	1956	1293
602	1959	1290
603	1962	1286
604	1964	1282
605	1967	1279
606	1970	1275
607	1973	1272
608	1975	1268
609	1978	1265
610	1981	1261
611	1983	1257
612	1986	1254
613	1989	1250
614	1991	1246
615	1994	1243
616	1997	1239
617	2000	1236
618	2002	1232
619	2005	1229
620	2007	1225
621	2010	1221
622	2012	1218
623	2015	1214
624	2018	1210
625	2020	1207
626	2023	1203
627	2025	1199
628	2028	1196
629	2031	1193
630	2034	1189
631	2038	1187
632	2041	1183
633	2044	1180
634	2048	1177
635	2051	1174
636	2054	1170
637	2057	1167
638	2059	1163
639	2063	1160
640	2066	1157
641	2069	1153
642	2071	1150
643	2074	1146
644	2078	1143
645	2080	1140
646	2083	1136
647	2086	1133
648	2089	1129
649	2092	1126
650	2094	1123
651	2097	1119
652	2100	1116
653	2103	1112
654	2105	1109
655	2108	1105
656	2111	1102
657	2114	1098
658	2117	1095
659	2119	1091
660	2122	1088
661	2124	1084
662	2127	1081
663	2130	1077
664	2132	1074
665	2135	1070
666	2137	1067
667	2140	1063
668	2143	1060
669	2145	1056
670	2148	1053
671	2151	1050
672	2154	1046
673	2156	1043
674	2159	1039
675	2161	1036
676	2164	1032
677	2167	1029
678	2169	1025
679	2172	1022
680	2175	1018
681	2178	1015
682	2181	1012
683	2184	1008
684	2187	1006
685	2191	1003
686	2195	1000
687	2199	997
688	2202	994
689	2206	991
690	2210	988
691	2212	984
692	2216	981
693	2218	978
694	2221	974
695	2224	971
696	2227	968
697	2230	964
698	2233	961
699	2236	958
700	2238	954
701	2241	951
702	2244	948
703	2247	944
704	2249	941
705	2252	938
706	2255	934
707	2258	931
708	2260	927
709	2263	924
710	2266	921
711	2269	918
712	2272	914
713	2275	911
714	2277	908
715	2280	904
716	2283	901
717	2285	897
718	2288	894
719	2291	890
720	2293	887
721	2296	884
722	2299	880
723	2301	877
724	2304	874
725	2306	870
726	2309	867
727	2311	863
728	2314	860
729	2316	856
730	2320	853
731	2323	850
732	2325	847
733	2327	843
734	2330	840
735	2334	837
736	2336	833
737	2339	830
738	2341	827
739	2344	823
740	2347	820
741	2349	816
742	2352	813
743	2355	810
744	2358	807
745	2361	804
746	2365	801
747	2367	797
748	2370	794
749	2373	791
750	2376	787
751	2379	784
752	2382	781
753	2385	778
754	2387	774
755	2390	771
756	2392	768
757	2395	764
758	2398	761
759	2400	758
760	2404	755
761	2406	751
762	2409	748
763	2412	745
764	2415	741
765	2417	738
766	2421	735
767	2423	732
768	2426	728
769	2428	725
770	2431	722
771	2434	719
772	2437	715
773	2439	712
774	2442	709
775	2445	705
776	2447	702
777	2450	699
778	2453	696
779	2456	692
780	2459	689
781	2461	686
782	2464	682
783	2467	679
784	2469	676
785	2472	673
786	2475	669
787	2477	666
788	2480	663
789	2483	660
790	2485	656
791	2488	653
792	2490	650
793	2493	646
794	2496	643
795	2499	640
796	2501	637
797	2504	633
798	2507	630
799	2510	627
800	2513	624
801	2515	621
802	2518	617
803	2520	614
804	2523	611
805	2526	608
806	2528	604
807	2531	601
808	2534	598
809	2537	595
810	2542	592
811	2546	589
812	2550	586
813	2553	583
814	2563	582
815	2567	579
816	2576	577
817	2583	574
818	2591	572
819	2595	569
820	2598	566
821	2602	563
822	2606	560
823	2610	557
824	2614	554
825	2618	551
826	2627	549
827	2631	546
828	2640	544
829	2644	541
830	2647	538
831	2655	536
832	2660	533
833	2671	531
834	2679	529
835	2688	527
836	2693	524
837	2707	523
838	2715	521
839	2722	518
840	2729	516
841	2733	512
842	2738	509
843	2741	506
844	2745	503
845	2749	500
846	2753	497
847	2757	494
848	2767	492
849	2774	489
850	2782	487
851	2798	486
852	2805	483
853	2813	481
854	2819	478
855	2829	475
856	2832	472
857	2837	469
858	2840	466
859	2845	463
860	2849	460
861	2854	456
862	2857	453
863	2866	451
864	2875	448
865	2879	445
866	2889	443
867	2897	440
868	2903	437
869	2906	434
870	2910	431
871	2914	427
872	2917	424
873	2920	421
874	2930	418
875	2942	416
876	2950	413
877	2959	411
878	2964	408
879	2974	405
880	2983	402
881	2991	400
882	3000	397
883	3008	394
884	3018	392
885	3027	389
886	3032	386
887	3035	382
888	3039	379
889	3043	376
890	3047	372
891	3051	369
892	3055	366
893	3059	362
894	3063	359
895	3067	356
896	3071	352
897	3075	349
898	3079	345
899	3081	342
900	3085	339
901	3088	335
902	3093	332
903	3099	329
904	3107	326
905	3110	322
906	3113	319
907	3116	315
908	3118	312
909	3121	308
910	3124	305
911	3126	301
912	3130	298
913	3132	294
914	3136	291
915	3140	287
916	3144	284
917	3154	281
918	3160	278
919	3167	275
920	3169	271
921	3173	268
922	3176	264
923	3183	261
924	3187	258
925	3191	255
926	3194	251
927	3198	248
928	3202	244
929	3205	241
930	3208	237
931	3212	234
932	3214	230
933	3217	227
934	3221	223
935	3223	220
936	3226	216
937	3228	213
938	3231	209
939	3234	206
940	3237	202
941	3240	199
942	3243	196
943	3246	192
944	3249	189
945	3252	185
946	3254	182
947	3257	178
948	3259	175
949	3263	171
950	3266	168
951	3268	164
952	3271	161
953	3274	157
954	3277	154
955	3279	150
956	3282	147
957	3285	144
958	3288	140
959	3290	137
960	3293	133
961	3296	130
962	3298	126
963	3302	123
964	3304	119
965	3308	116
966	3311	112
967	3313	109
968	3316	106
969	3319	102
970	3322	99
971	3324	95
972	3327	92
973	3330	88
974	3333	85
975	3336	82
976	3338	78
977	3341	75
978	3344	71
979	3347	68
980	3350	64
981	3352	61
982	3355	58
983	3358	54
984	3360	51
985	3363	47
986	3366	44
987	3369	40
988	3371	37
989	3374	34
990	3376	30
991	3380	27
992	3382	23
993	3385	20
994	3388	17
995	3390	13
996	3393	10
997	3396	6
998	3399	3
999	3404	0
